layer,scomp_raw,scomp_mean,status,reason
0,0.0532519593834877,6.825073796790093e-05,ok,
1,0.024255629628896713,4.323014582041651e-05,ok,
2,0.09837353229522705,5.991557554807514e-05,ok,
3,0.08382117748260498,9.58238379098475e-05,ok,
4,0.11561812460422516,9.066917118616402e-05,ok,
5,0.11149468272924423,8.996325777843595e-05,ok,
6,0.05984487384557724,7.423123315675184e-05,ok,
7,0.3794887959957123,0.0002522574504837394,ok,
8,0.4034653604030609,0.0003390252823010087,ok,
9,2.5355286598205566,0.0012923777103424072,ok,
10,0.10835663974285126,0.00015564332716166973,ok,
11,0.6785615682601929,0.0005233294214121997,ok,
12,0.9313246607780457,0.0010008353274315596,ok,
13,1.3411084413528442,0.0007145327399484813,ok,
14,1.3411115407943726,0.0012602470815181732,ok,
15,0.5612510442733765,0.0006659583305008709,ok,
16,1.8254015445709229,0.0007353121181949973,ok,
17,0.9353007078170776,0.00033650072873570025,ok,
18,0.18859967589378357,0.00015157666348386556,ok,
19,2.6915295124053955,0.0009736779029481113,ok,
20,0.34813031554222107,0.00024015888629946858,ok,
21,0.09817657619714737,8.400506339967251e-05,ok,
22,1.204221487045288,0.0004250803613103926,ok,
23,10.451769828796387,0.005386748816817999,ok,
24,16.428695678710938,0.005289437249302864,ok,
25,0.8637827038764954,0.0004021188069600612,ok,
26,18.030427932739258,0.004478012677282095,ok,
27,8.381903648376465,0.004298345651477575,ok,
28,0.20884987711906433,0.00018536193238105625,ok,
29,0.09173464775085449,0.00010311329970136285,ok,
30,1.3411061763763428,0.0007251051720231771,ok,
31,40.568416595458984,0.00995951984077692,ok,
32,172.25741577148438,0.04390748217701912,ok,
33,0.3989565968513489,0.00032220271532423794,ok,
34,152.587890625,0.0376228392124176,ok,
35,0.15584568679332733,0.00010169361485168338,ok,
